number,product,strength,file
70,B-COMPLEX,25/25/25/2/2 MG/ML,070-b-complex.png
71,BIMIX (PAPA/PHEN),[150MG/5MG] 30MG/1MG/ML,071-bimix-papa-phen.png
72,BRANCHED CHAIN AMINO ACIDS (BCAA) (ILE/L/V),0.4/0.3/1.2 GM/ML,072-branched-chain-amino-acids-bcaa-ile-l-v.png
73,BREMELANOTIDE ACETATE (PT-141),10MG/ML,073-bremelanotide-acetate-pt-141.png
74,CALCIUM GLUCONATE,10%,074-calcium-gluconate.png
75,"CARTALAX (AED, T-31)",4MG/ML,075-cartalax-aed-t-31.png
76,COENZYME Q10,25MG/ML,076-coenzyme-q10.png
77,DEXPANTHENOL,250MG/ML,077-dexpanthenol.png
78,DSIP,2MG/ML,078-dsip.png
79,DUTASTERIDE,100MCG/ML,079-dutasteride.png
80,EPITHALON,2MG/ML,080-epithalon.png
81,FOLIC ACID,10MG/ML,081-folic-acid.png
82,FOXO4-DRI,2MG/ML,082-foxo4-dri.png
83,GHK/CU/EPITHALON,10/2 MG/ML,083-ghk-cu-epithalon.png
84,GLYCERIN,72%,084-glycerin.png
85,GONADORELIN,200MCG/ML,085-gonadorelin.png
86,IGF-LR3,200MCG/ML,086-igf-lr3.png
87,KISSPEPTIN,1MG/ML,087-kisspeptin.png
88,L-CARNITINE,500MG/ML,088-l-carnitine.png
89,LIDOCAINE,2% (20MG/ML),089-lidocaine.png
90,LIPO-B (CYANOCOBALAMIN/MIC),25MG/50MG/50MG/1MG/ML,090-lipo-b-cyanocobalamin-mic.png
91,LIPO-C,25/25/50/100/1 MG/ML,091-lipo-c.png
92,LIPO-C (CYANOCOBALAMIN/MIC/L-CARNITINE),15MG/50MG/50MG/ML,092-lipo-c-cyanocobalamin-mic-l-carnitine.png
93,LIRAGLUTIDE,12MG/ML,093-liraglutide.png
94,LIRAGLUTIDE/METHIONINE,6MG/2MG/ML,094-liraglutide-methionine.png
95,LL-37,1MG/ML,095-ll-37.png
96,L-LEUCINE/L-ISOLEUCINE/L-VALINE,10MG/10MG/5MG/ML,096-l-leucine-l-isoleucine-l-valine.png
97,LYSINE,200MG/ML,097-lysine.png
98,MYER'S COCKTAIL,100MG/10MG/0.5MG/ML,098-myer-s-cocktail.png
99,NANDROLONE,200MG/ML,099-nandrolone.png
100,NANDROLONE DECANOATE,200MG/ML,100-nandrolone-decanoate.png
101,NANDROLONE DECANOATE (SESAME OIL),200MG/ML,101-nandrolone-decanoate-sesame-oil.png
102,NANDROLONE GRAPE SEED OIL,200MG/ML,102-nandrolone-grape-seed-oil.png
103,OXYTOCIN,100IU/ML,103-oxytocin.png
104,PEG-MGF,0.4MG/ML,104-peg-mgf.png
105,PENTADECAPEPTIDE ARGINATE (PDA),10MG/ML,105-pentadecapeptide-arginate-pda.png
106,PHENYLEPHRINE,10MG/ML,106-phenylephrine.png
107,PROCAINE,2%,107-procaine.png
108,PROLINE,50MG/ML,108-proline.png
109,PT/141,2MG/ML,109-pt-141.png
110,PYRIDOXINE (VITAMIN B6),100MG/ML,110-pyridoxine-vitamin-b6.png
111,QUADMIX (PAPA/PHEN/ATRO/PGE),9MG/1MG/10MCG/10MCG/ML,111-quadmix-papa-phen-atro-pge.png
112,SEMAGLUTIDE/GLYCINE/B12,1MG/1MG/10MG/ML,112-semaglutide-glycine-b12.png
113,SERMORELIN/IPAMORELIN,3MG/3.6MG/ML,113-sermorelin-ipamorelin.png
114,SODIUM DEOXYCHOLATE,1.67%,114-sodium-deoxycholate.png
115,TESTOSTERONE CYP GRAPE SEED OIL,200MG/ML,115-testosterone-cyp-grape-seed-oil.png
116,TESTOSTERONE ENT GRAPE SEED OIL,200MG/ML,116-testosterone-ent-grape-seed-oil.png
117,TESTOSTERONE PRO GRAPE SEED OIL,100MG/ML,117-testosterone-pro-grape-seed-oil.png
118,TESTOSTERONE (VARIOUS FEMALE ESTERS & BLENDS),CYPIONATE/PROPIONATE 175MG/25MG/ML,118-testosterone-various-female-esters-blends.png
119,TEST PRODUCT 2,10MG/2.5MG/ML,119-test-product-2.png
120,THYMOSIN ALPHA-1,3MG/ML,120-thymosin-alpha-1.png
121,TIRZEPATIDE/GLYCINE/B12,10MG/5MG/500MCG/ML,121-tirzepatide-glycine-b12.png
122,VITAMIN B-12 (CYANOCOBALAMIN),1200MG/ML,122-vitamin-b-12-cyanocobalamin.png
123,VITAMIN D3,"50,000IU/ML",123-vitamin-d3.png
